Articles				
				
Title	Date	Authors	Abstract (Excerpt)	Link ( Read Article )
Rasch-Preselected Items: An Optimal Approach in Item-based Evaluation	Oct-23	Reza Khany, Mahdieh Fakhar Shahreza, Maria Elena Barcena Madera	This study proposes an optimal approach in item-based evaluation by utilizing Rasch-preselected items to enhance assessment accuracy and efficiency.	https://www.researchgate.net/publication/370591206_Rasch-Preselected_Items_An_Optimal_Approach_in_Item-based_Evaluation?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
The study of EFL Students' Self-Regulation, Locus of Control, and Academic Achievement through Mobile-Assisted Language Learning; The Case of Duolingo® App	May-23	Mahdieh Fakhar Shahreza, Maria Elena Barcena Madera, Reza Khany	This study examines the effectiveness of the Duolingo® app on students' academic achievement, focusing on self-regulation and locus of control among EFL learners.	https://www.researchgate.net/publication/370591338_The_study_of_EFL_Students'_Self-Regulation_Locus_of_Control_and_Academic_Achievement_through_Mobile-Assisted_Language_Learning_The_Case_of_DuolingoR_App?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Social media in higher education: case studies, reflections and analysis	Oct-22	Mahdieh Fakhar Shahreza	This article reflects on the role of social media in higher education, analyzing various case studies to understand its impact on teaching and learning processes.	https://www.researchgate.net/publication/364629368_Social_media_in_higher_education_case_studies_reflections_and_analysis_edited_by_C_Rowel_Open_Book_Publishers_Cambridge_UK_2019_ISBN_978-1-78374-668-2_paperback_ISBN_978-1-78374-670-5_PDF_httpsdoiorg1?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Development, Factor Analysis, and Validation of an EFL Teacher Change Scale (TCS)	Jan-16	Reza Khany, Mahdieh Fakhar Shahreza	The study focuses on developing and validating a reliable scale to measure teacher change in EFL contexts, providing insights into professional development and instructional transformation.	https://www.researchgate.net/publication/370590863_Development_Factor_Analysis_and_Validation_of_an_EFL_Teacher_Change_Scale_TCS?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
				
				
📚 Conference Papers				
				
Title	Date	Authors	Abstract (Excerpt)	Link ( Read Article )
Visualized Network of Online Interactions in an Ed-Tech Enhanced EFL Language Learning Context Using Gephi Software	May-23	Reza Khany, Mahdieh Fakhar Shahreza	This study utilizes Social Network Analysis (SNA) to explore interactions in an EFL learning context enhanced by educational technology, employing Gephi software for visualization.	https://www.researchgate.net/publication/370591278_Visualized_Network_of_Online_Interactions_in_an_Ed-Tech_Enhanced_EFL_Language_Learning_Context_Using_Gephi_Software?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
